2025-09-23 23:46:28,231 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 4, "timestamp": "2025-09-23T23:46:28.231293", "ip": "10.0.0.1", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:46:28,232 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:47:28 UTC)" executed successfully
2025-09-23 23:46:28,276 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:47:28 UTC)" (scheduled at 2025-09-23 23:46:28.148276+00:00)
2025-09-23 23:46:28,277 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 5, "timestamp": "2025-09-23T23:46:28.277635", "ip": "10.0.0.2", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:46:28,279 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:47:28 UTC)" executed successfully
2025-09-23 23:47:05,307 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:48:05 UTC)" (scheduled at 2025-09-23 23:47:05.183867+00:00)
2025-09-23 23:47:05,343 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 3, "timestamp": "2025-09-23T23:47:05.343637", "path": "/tmp/foo/test"}
2025-09-23 23:47:05,354 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:48:05 UTC)" (scheduled at 2025-09-23 23:47:05.209414+00:00)
2025-09-23 23:47:05,360 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:48:05 UTC)" executed successfully
2025-09-23 23:47:05,362 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 4, "timestamp": "2025-09-23T23:47:05.362062", "path": "/tmp/a"}
2025-09-23 23:47:05,370 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:48:05 UTC)" (scheduled at 2025-09-23 23:47:05.235611+00:00)
2025-09-23 23:47:05,378 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:48:05 UTC)" executed successfully
2025-09-23 23:47:05,401 | INFO | hids-scanner | {"type": "activity", "activity_type": "file_unchanged", "item_id": 5, "timestamp": "2025-09-23T23:47:05.401507", "path": "/etc/hosts"}
2025-09-23 23:47:05,403 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:48:05 UTC)" executed successfully
2025-09-23 23:47:28,224 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:48:28 UTC)" (scheduled at 2025-09-23 23:47:28.116885+00:00)
2025-09-23 23:47:28,225 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 4, "timestamp": "2025-09-23T23:47:28.225687", "ip": "10.0.0.1", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:47:28,227 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:48:28 UTC)" executed successfully
2025-09-23 23:47:28,272 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:48:28 UTC)" (scheduled at 2025-09-23 23:47:28.148276+00:00)
2025-09-23 23:47:28,273 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 5, "timestamp": "2025-09-23T23:47:28.273330", "ip": "10.0.0.2", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:47:28,276 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:48:28 UTC)" executed successfully
2025-09-23 23:48:05,274 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:49:05 UTC)" (scheduled at 2025-09-23 23:48:05.183867+00:00)
2025-09-23 23:48:05,296 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 3, "timestamp": "2025-09-23T23:48:05.296087", "path": "/tmp/foo/test"}
2025-09-23 23:48:05,312 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:49:05 UTC)" (scheduled at 2025-09-23 23:48:05.209414+00:00)
2025-09-23 23:48:05,318 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:49:05 UTC)" executed successfully
2025-09-23 23:48:05,320 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 4, "timestamp": "2025-09-23T23:48:05.319949", "path": "/tmp/a"}
2025-09-23 23:48:05,328 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:49:05 UTC)" (scheduled at 2025-09-23 23:48:05.235611+00:00)
2025-09-23 23:48:05,338 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:49:05 UTC)" executed successfully
2025-09-23 23:48:05,366 | INFO | hids-scanner | {"type": "activity", "activity_type": "file_unchanged", "item_id": 5, "timestamp": "2025-09-23T23:48:05.366000", "path": "/etc/hosts"}
2025-09-23 23:48:05,367 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:49:05 UTC)" executed successfully
2025-09-23 23:48:28,582 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:49:28 UTC)" (scheduled at 2025-09-23 23:48:28.116885+00:00)
2025-09-23 23:48:28,583 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 4, "timestamp": "2025-09-23T23:48:28.583791", "ip": "10.0.0.1", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:48:28,584 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:49:28 UTC)" executed successfully
2025-09-23 23:48:28,603 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:49:28 UTC)" (scheduled at 2025-09-23 23:48:28.148276+00:00)
2025-09-23 23:48:28,604 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 5, "timestamp": "2025-09-23T23:48:28.604683", "ip": "10.0.0.2", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:48:28,606 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:49:28 UTC)" executed successfully
2025-09-23 23:49:05,188 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:50:05 UTC)" (scheduled at 2025-09-23 23:49:05.183867+00:00)
2025-09-23 23:49:05,225 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 3, "timestamp": "2025-09-23T23:49:05.225193", "path": "/tmp/foo/test"}
2025-09-23 23:49:05,242 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:50:05 UTC)" (scheduled at 2025-09-23 23:49:05.209414+00:00)
2025-09-23 23:49:05,248 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:50:05 UTC)" executed successfully
2025-09-23 23:49:05,255 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 4, "timestamp": "2025-09-23T23:49:05.255530", "path": "/tmp/a"}
2025-09-23 23:49:05,258 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:50:05 UTC)" (scheduled at 2025-09-23 23:49:05.235611+00:00)
2025-09-23 23:49:05,271 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:50:05 UTC)" executed successfully
2025-09-23 23:49:05,292 | INFO | hids-scanner | {"type": "activity", "activity_type": "file_unchanged", "item_id": 5, "timestamp": "2025-09-23T23:49:05.292021", "path": "/etc/hosts"}
2025-09-23 23:49:05,293 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:50:05 UTC)" executed successfully
2025-09-23 23:49:28,163 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:50:28 UTC)" (scheduled at 2025-09-23 23:49:28.116885+00:00)
2025-09-23 23:49:28,164 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 4, "timestamp": "2025-09-23T23:49:28.164164", "ip": "10.0.0.1", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:49:28,165 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:50:28 UTC)" executed successfully
2025-09-23 23:49:28,182 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:50:28 UTC)" (scheduled at 2025-09-23 23:49:28.148276+00:00)
2025-09-23 23:49:28,183 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 5, "timestamp": "2025-09-23T23:49:28.183726", "ip": "10.0.0.2", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:49:28,184 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:50:28 UTC)" executed successfully
2025-09-23 23:50:05,296 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:51:05 UTC)" (scheduled at 2025-09-23 23:50:05.183867+00:00)
2025-09-23 23:50:05,332 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 3, "timestamp": "2025-09-23T23:50:05.332179", "path": "/tmp/foo/test"}
2025-09-23 23:50:05,347 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:51:05 UTC)" (scheduled at 2025-09-23 23:50:05.209414+00:00)
2025-09-23 23:50:05,349 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:51:05 UTC)" executed successfully
2025-09-23 23:50:05,353 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 4, "timestamp": "2025-09-23T23:50:05.353759", "path": "/tmp/a"}
2025-09-23 23:50:05,363 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:51:05 UTC)" (scheduled at 2025-09-23 23:50:05.235611+00:00)
2025-09-23 23:50:05,369 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:51:05 UTC)" executed successfully
2025-09-23 23:50:05,394 | INFO | hids-scanner | {"type": "activity", "activity_type": "file_unchanged", "item_id": 5, "timestamp": "2025-09-23T23:50:05.394678", "path": "/etc/hosts"}
2025-09-23 23:50:05,395 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:51:05 UTC)" executed successfully
2025-09-23 23:50:28,491 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:51:28 UTC)" (scheduled at 2025-09-23 23:50:28.116885+00:00)
2025-09-23 23:50:28,492 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 4, "timestamp": "2025-09-23T23:50:28.492839", "ip": "10.0.0.1", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:50:28,494 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:51:28 UTC)" executed successfully
2025-09-23 23:50:28,538 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:51:28 UTC)" (scheduled at 2025-09-23 23:50:28.148276+00:00)
2025-09-23 23:50:28,539 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 5, "timestamp": "2025-09-23T23:50:28.539918", "ip": "10.0.0.2", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:50:28,541 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:51:28 UTC)" executed successfully
2025-09-23 23:51:05,330 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:52:05 UTC)" (scheduled at 2025-09-23 23:51:05.183867+00:00)
2025-09-23 23:51:05,364 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 3, "timestamp": "2025-09-23T23:51:05.364062", "path": "/tmp/foo/test"}
2025-09-23 23:51:05,378 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:52:05 UTC)" (scheduled at 2025-09-23 23:51:05.209414+00:00)
2025-09-23 23:51:05,380 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:52:05 UTC)" executed successfully
2025-09-23 23:51:05,382 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 4, "timestamp": "2025-09-23T23:51:05.382137", "path": "/tmp/a"}
2025-09-23 23:51:05,395 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:52:05 UTC)" (scheduled at 2025-09-23 23:51:05.235611+00:00)
2025-09-23 23:51:05,397 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:52:05 UTC)" executed successfully
2025-09-23 23:51:05,419 | INFO | hids-scanner | {"type": "activity", "activity_type": "file_unchanged", "item_id": 5, "timestamp": "2025-09-23T23:51:05.419878", "path": "/etc/hosts"}
2025-09-23 23:51:05,421 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:52:05 UTC)" executed successfully
2025-09-23 23:51:28,179 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:52:28 UTC)" (scheduled at 2025-09-23 23:51:28.116885+00:00)
2025-09-23 23:51:28,181 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 4, "timestamp": "2025-09-23T23:51:28.181377", "ip": "10.0.0.1", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:51:28,182 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:52:28 UTC)" executed successfully
2025-09-23 23:51:28,203 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:52:28 UTC)" (scheduled at 2025-09-23 23:51:28.148276+00:00)
2025-09-23 23:51:28,204 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 5, "timestamp": "2025-09-23T23:51:28.204921", "ip": "10.0.0.2", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:51:28,206 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:52:28 UTC)" executed successfully
2025-09-23 23:52:05,316 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:53:05 UTC)" (scheduled at 2025-09-23 23:52:05.183867+00:00)
2025-09-23 23:52:05,325 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 3, "timestamp": "2025-09-23T23:52:05.325003", "path": "/tmp/foo/test"}
2025-09-23 23:52:05,363 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:53:05 UTC)" (scheduled at 2025-09-23 23:52:05.209414+00:00)
2025-09-23 23:52:05,364 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:53:05 UTC)" executed successfully
2025-09-23 23:52:05,369 | WARNING | hids-scanner | {"type": "alert", "alert_type": "file_not_found", "item_id": 4, "timestamp": "2025-09-23T23:52:05.369527", "path": "/tmp/a"}
2025-09-23 23:52:05,378 | INFO | apscheduler.executors.default | Running job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:53:05 UTC)" (scheduled at 2025-09-23 23:52:05.235611+00:00)
2025-09-23 23:52:05,385 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:53:05 UTC)" executed successfully
2025-09-23 23:52:05,407 | INFO | hids-scanner | {"type": "activity", "activity_type": "file_unchanged", "item_id": 5, "timestamp": "2025-09-23T23:52:05.407134", "path": "/etc/hosts"}
2025-09-23 23:52:05,408 | INFO | apscheduler.executors.default | Job "scan_file (trigger: interval[0:01:00], next run at: 2025-09-23 23:53:05 UTC)" executed successfully
2025-09-23 23:52:28,248 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:53:28 UTC)" (scheduled at 2025-09-23 23:52:28.116885+00:00)
2025-09-23 23:52:28,249 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 4, "timestamp": "2025-09-23T23:52:28.249882", "ip": "10.0.0.1", "error": "name 'MonitoredIP' is not defined"}
2025-09-23 23:52:28,251 | INFO | apscheduler.executors.default | Job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:53:28 UTC)" executed successfully
2025-09-23 23:52:28,267 | INFO | apscheduler.executors.default | Running job "scan_ip (trigger: interval[0:01:00], next run at: 2025-09-23 23:53:28 UTC)" (scheduled at 2025-09-23 23:52:28.148276+00:00)
2025-09-23 23:52:28,269 | WARNING | hids-scanner | {"type": "alert", "alert_type": "ip_scan_error", "item_id": 5, "timestamp": "2025-09-23T23:52:28.269181", "ip": "10.0.0.2", "error": "name 'MonitoredIP' is not defined"}
